city,center,year,month,day,weekday,menus
つくば市,すこやか給食センター豊里,2026,4,10,金,コッペパン※、メンチカツソースがけ、マカロニサラダ (ノンエッグマヨネーズ）、ジュリエンヌスープ
つくば市,ほがらか給食センター谷田部,2026,4,10,金,ミルクパン 牛乳、チキンカツ（ソース）、ポテトサラダ （ノンエッグマヨネーズ）、かぶのコンソメスープ
つくば市,桜学校給食センター,2026,4,10,金,ポークカレーライス（むぎごはん）、オムレツ、オーシャンサラダ （わふうフレンチドレッシング）
つくば市,筑波学校給食センター,2026,4,10,金,コッペパン チョコクリーム、のむヨーグルト、フィレオチキントマトソース、ブロッコリーサラダ （イタリアンドレッシング）、オニオンスープ、おいわいクレープ（小中）
つくば市,すこやか給食センター豊里,2026,4,13,月,ごはん、にらまんじゅう （小４まで１こ、小５から２こ）、はるさめサラダ（ちゅうかドレッシング）、マーボーどうふ
つくば市,ほがらか給食センター谷田部,2026,4,13,月,ごはん 牛乳、めばるのしょうゆやき、みずなとチキンのサラダ （バンバンジードレッシング）、めったじる
つくば市,桜学校給食センター,2026,4,13,月,くろパン、やさいコロッケ、はなやさいサラダ （イタリアンドレッシング）、はるいろとうにゅうクリームシチュー
つくば市,筑波学校給食センター,2026,4,13,月,ごはん、しゅうまい（幼小２ 中３）、チンジャオロース、はるさめス－プ
つくば市,すこやか給食センター豊里,2026,4,14,火,コッペパン、しろみざかなフライソースがけ、ブロッコリーのバジルソテー、コーンチャウダー
つくば市,ほがらか給食センター谷田部,2026,4,14,火,バターパン 牛乳、えだまめとコーンのフリッター （幼：１こ、小中職：２こ）、ポークシチュー、フルーツあんにん
つくば市,桜学校給食センター,2026,4,14,火,ごはん 牛乳、ハンバーグたまねぎソース、たくあんあえ、おいわいすましじる、おいわいいちごゼリー
つくば市,筑波学校給食センター,2026,4,14,火,ポークカレーライス（むぎごはん）、キャベツメンチ、しおこんぶあえ、おいわいクレープ（幼）
つくば市,すこやか給食センター豊里,2026,4,15,水,ごはん 牛乳、とりにくのからあげ、きりぼしだいこんのサラダ （わふうドレッシング）、ぐだくさんみそしる、おいわいいちごゼリー※
つくば市,ほがらか給食センター谷田部,2026,4,15,水,ごはん 牛乳、わふうハンバーグ、はるさめサラダ （ちゅうかドレッシング）、おいわいすましじる、おいわいいちごゼリー
つくば市,桜学校給食センター,2026,4,15,水,スパゲッティミートソース、テーブルロール、キッシュ、ごぼうサラダ （わふうクリーミードレッシング）
つくば市,筑波学校給食センター,2026,4,15,水,はちみつパン、ほうれんそうのグラタン、パプリカサラダ （ノンオイルかんきつドレッシング）、コーンポタージュ
つくば市,すこやか給食センター豊里,2026,4,16,木,ごはん、のむヨーグルト※、やさいフリッター （小２まで１こ、小３から２こ）、かいそうサラダ （たまねぎドレッシング）、ポークカレー
つくば市,ほがらか給食センター谷田部,2026,4,16,木,ごはん 牛乳、はるまき、ホイコーロー、こまつなのちゅうかスープ
