city,center,year,month,day,weekday,menus
取手市,小学校（旧取手地区）,2026,5,1,金,ごはん、ハッシュドポーク、コールスロー（コールスロードレッシング）
取手市,小学校（旧取手地区）,2026,5,7,木,ごはん、かつおカツ（ソース）、ポテトサラダ、なめこ汁
取手市,小学校（旧取手地区）,2026,5,8,金,わかめと春野菜のあんかけ焼きそば、もやしのねぎだれあえ、カップケーキ
取手市,小学校（旧取手地区）,2026,5,11,月,麦ごはん、ポークカレー、ベーコンと大根のサラダ（和風ドレッシング）
取手市,小学校（旧取手地区）,2026,5,12,火,ごはん、さばのごま煮、五目きんぴら、さやえんどうのみそ汁
取手市,小学校（旧取手地区）,2026,5,13,水,フォカッチャ、ピザ風チキン、マリナータ、オニオンエッグスープ
取手市,小学校（旧取手地区）,2026,5,14,木,ごはん、豚肉のしょうが炒め、のり塩じゃがいも、豆乳汁
取手市,小学校（旧取手地区）,2026,5,15,金,肉みそごまうどん（ソフト麺）、（肉みそごまスープ）、揚げ餃子、ざくざくキャベツ
取手市,小学校（旧取手地区）,2026,5,18,月,麦ごはん、麻婆豆腐、春雨スープ
取手市,小学校（旧取手地区）,2026,5,19,火,ごはん、鶏肉のから揚げ、もやしときくらげのあえもの、にらたまみそ汁
取手市,小学校（旧取手地区）,2026,5,20,水,コッペパン、ハンバーグデミグラスソース、アスパラとポテトのガーリックソテー、コーンスープ
取手市,小学校（旧取手地区）,2026,5,21,木,ごはん、ますの塩麹焼き、けいちゃん、すったて汁
取手市,小学校（旧取手地区）,2026,5,22,金,ごはん、プルコギ、もやしのスープ
取手市,小学校（旧取手地区）,2026,5,25,月,麦ごはん、鶏肉のうま塩炒め、ごま汁
取手市,小学校（旧取手地区）,2026,5,26,火,ごはん、しゅうまい、青椒肉絲、わかめスープ
取手市,小学校（旧取手地区）,2026,5,27,水,ナン、キーマカレー、カリカリじゃこサラダ（玉ねぎドレッシング）、みかんゼリー
取手市,小学校（旧取手地区）,2026,5,28,木,ごはん、あじのとろろマヨ焼き、ごまあえ、みそ汁
取手市,小学校（旧取手地区）,2026,5,29,金,ごはん、回鍋肉、チンゲン菜のスープ
