city,center,year,month,day,weekday,menus
守谷市,Aブロック,2026,5,1,木,ごまみそきんぴら、たけのこのすましじる、ごはん、とり肉の照り焼き
守谷市,Bブロック,2026,5,1,木,わかめと寒天のサラダ、おおいた風とりだしうどんじる、ごはん、ビビンバ肉そぼろ
守谷市,Cブロック,2026,5,1,木,さばのピリッとジャン、いかとブロッコリーのレモンいため、わかめスープ、ソフトめん、ささみの天ぷら
守谷市,Aブロック,2026,5,2,金,じゃがいものそぼろに、みそけんちんじる、こどもの日ゼリー、きなこあげパン（乳卵無）
守谷市,Bブロック,2026,5,2,金,ナムル、春雨スープ、こどもの日ゼリー、ごはん、ポークしゅうまい（2こ3こ）
守谷市,Cブロック,2026,5,2,金,わかめと寒天のサラダ、おおいた風とりだしうどんじる、こどもの日ゼリー、ごはん
守谷市,Aブロック,2026,5,7,水,チキンのブラウンソースに、ポテトサラダ、ソフトめん、焼きぎょうざ（２こ３こ）
守谷市,Bブロック,2026,5,7,水,しおマーボーどうふ、チンゲンサイのちゅうかスープ、ごはん、とうふハンバーグおろしソース
守谷市,Cブロック,2026,5,7,水,肉どうふ、ほうれん草のごまあえ、みそしる、きなこあげパン（乳卵無）
守谷市,Aブロック,2026,5,8,木,きゅうりの梅和え、もやし肉みそスープ、ごはん、五目春巻、ブロッコリーと春雨のオイスターに
守谷市,Bブロック,2026,5,8,木,ごまみそきんぴら、たけのこのすましじる、きなこあげパン（乳卵無）
守谷市,Cブロック,2026,5,8,木,チキンのブラウンソースに、ポテトサラダ、ソフトめん、焼きぎょうざ（３こ）
守谷市,Aブロック,2026,5,9,金,スンドゥブチゲ、ごはん
守谷市,Bブロック,2026,5,9,金,チキンのブラウンソースに、ポテトサラダ、ごはん、五目春巻
守谷市,Cブロック,2026,5,9,金,きゅうりの梅和え、もやし肉みそスープ、ごはん、守谷生まれ献立（米・飲むヨーグルト・みそ）、飲むヨーグルト、手作りさばのみそに
守谷市,Aブロック,2026,5,12,月,肉どうふ、ほうれん草のごまあえ、みそしる、黒パン、ハンバーグトマトソース
守谷市,Bブロック,2026,5,12,火,ブロッコリーと春雨のオイスターに、スンドゥブチゲ、ごはん、チキンナゲット（2こ３こ）
守谷市,Cブロック,2026,5,12,火,菜の花のからしあえ、守谷生まれの肉団子のすましじる、ごはん、♥、いばらき美味（おい）しおDAYメニュー（減塩の日）♥
