city,center,year,month,day,weekday,menus
龍ケ崎市,A献立,2026,3,2,月,龍ケ崎小、馴柴小、川原代小、龍ケ崎西小、馴馬台小、久保台小、龍ケ崎中、城西中、中根台中、はちみつパン、牛乳、ポークビーンズ、ポテトサラダ、アルファベットスープ
龍ケ崎市,B献立,2026,3,2,月,八原小、城ノ内小、松葉小、長山小、城ノ内中、長山中、竜一附属中、ご飯、牛乳、豆腐ハンバーグおろしソース、菜の花和え、おふのすまし汁、ひなあられ
龍ケ崎市,A献立,2026,3,3,火,龍ケ崎小、馴柴小、川原代小、龍ケ崎西小、馴馬台小、久保台小、龍ケ崎中、城西中、中根台中、ご飯、牛乳、豆腐ハンバーグおろしソース、菜の花和え、おふのすまし汁、ひなあられ
龍ケ崎市,B献立,2026,3,3,火,八原小、城ノ内小、松葉小、長山小、城ノ内中、長山中、竜一附属中、コッペパン、牛乳、ミートボール、グリーンサラダ、ホワイトシチュー
龍ケ崎市,A献立,2026,3,4,水,龍ケ崎小、馴柴小、川原代小、龍ケ崎西小、馴馬台小、久保台小、龍ケ崎中、城西中、中根台中、ご飯、牛乳、さばのみそ煮、ブロッコリーのおかか和え、豚汁、米粉クレープ
龍ケ崎市,B献立,2026,3,4,水,八原小、城ノ内小、松葉小、長山小、城ノ内中、長山中、竜一附属中、カレーうどん(ソフト麺･カレーうどん汁)、牛乳、みそ大学いも、小松菜ともやしのサラダ
龍ケ崎市,A献立,2026,3,5,木,龍ケ崎小、馴柴小、川原代小、龍ケ崎西小、馴馬台小、久保台小、龍ケ崎中、城西中、中根台中、ご飯、牛乳、さわらフライ、まいりゅうサラダ、かき玉汁
龍ケ崎市,B献立,2026,3,5,木,八原小、城ノ内小、松葉小、長山小、城ノ内中、長山中、竜一附属中、ご飯、牛乳、さばのみそ煮、ブロッコリーのおかか和え、豚汁、米粉クレープ
龍ケ崎市,A献立,2026,3,6,金,龍ケ崎小、馴柴小、川原代小、龍ケ崎西小、馴馬台小、久保台小、龍ケ崎中、城西中、中根台中、野菜たっぷりカレーライス(麦ご飯･野菜たっぷりカレー)、牛乳、ブロッコリーのサラダ、パインアップル
龍ケ崎市,B献立,2026,3,6,金,八原小、城ノ内小、松葉小、長山小、城ノ内中、長山中、竜一附属中、麦ご飯、牛乳、にらまんじゅう、コーン入りサラダ、龍ケ崎トマ麻婆
龍ケ崎市,A献立,2026,3,9,月,龍ケ崎小、馴柴小、川原代小、龍ケ崎西小、馴馬台小、久保台小、龍ケ崎中、城西中、中根台中、コッペパン、いちごジャム、牛乳、ハンバーグトマトソース、花野菜サラダ、コンソメスープ
龍ケ崎市,B献立,2026,3,9,月,八原小、城ノ内小、松葉小、長山小、城ノ内中、長山中、竜一附属中、ご飯、牛乳、さわらフライ、まいりゅうサラダ、かき玉汁
龍ケ崎市,A献立,2026,3,11,水,龍ケ崎小、馴柴小、川原代小、龍ケ崎西小、馴馬台小、久保台小、龍ケ崎中、城西中、中根台中、カレーうどん(ソフト麺･カレーうどん汁)、牛乳、みそ大学いも、小松菜ともやしのサラダ
龍ケ崎市,B献立,2026,3,11,水,八原小、城ノ内小、松葉小、長山小、城ノ内中、長山中、竜一附属中、肉みそそぼろ丼（ご飯･肉みそそぼろ）、牛乳、ごま和え、さつま汁
龍ケ崎市,A献立,2026,3,12,木,龍ケ崎小、馴柴小、川原代小、龍ケ崎西小、馴馬台小、久保台小、龍ケ崎中、城西中、中根台中、枝豆と鶏肉のまぜご飯（ご飯、枝豆と鶏肉のまぜご飯の具）、牛乳、のり酢和え、あったかみそ汁
龍ケ崎市,B献立,2026,3,12,木,八原小、城ノ内小、松葉小、長山小、城ノ内中、長山中、竜一附属中、ブルーベリーロール、牛乳、鶏肉のマーマレード焼き、フレンチサラダ、ミートソースペンネ
龍ケ崎市,A献立,2026,3,16,月,龍ケ崎小、馴柴小、川原代小、龍ケ崎西小、馴馬台小、久保台小、龍ケ崎中、城西中、中根台中、コッペパン、牛乳、ミートボール、グリーンサラダ、ホワイトシチュー
龍ケ崎市,B献立,2026,3,16,月,八原小、城ノ内小、松葉小、長山小、城ノ内中、長山中、竜一附属中、ご飯、牛乳、鶏肉のレモン風味、ひじきサラダ、白菜のみそ汁
龍ケ崎市,A献立,2026,3,18,水,龍ケ崎小、馴柴小、川原代小、龍ケ崎西小、馴馬台小、久保台小、龍ケ崎中、城西中、中根台中、ブルーベリーロール、牛乳、鶏肉のマーマレード焼き、フレンチサラダ、ミートソースペンネ
龍ケ崎市,B献立,2026,3,18,水,八原小、城ノ内小、松葉小、長山小、城ノ内中、長山中、竜一附属中、枝豆と鶏肉のまぜご飯（ご飯、枝豆と鶏肉のまぜご飯の具）、牛乳、のり酢和え、あったかみそ汁
